Location,prov,Longitude,Latitude,HDD (NBCC),HDD (degC-day),CF_0.5C (degC-day),CF_1.0C (degC-day),CF_1.5C (degC-day),CF_2.0C (degC-day),CF_2.5C (degC-day),CF_3.0C (degC-day),CF_3.5C (degC-day)
Pembroke,ON,-77.12,45.82,4980,4900,-260,-440,-630,-830,-1030,-1180,-1340
Penetanguishene,ON,-79.92,44.78,4200,4425,-250,-420,-610,-790,-980,-1130,-1280
Perth,ON,-76.25,44.9,4540,4400,-250,-420,-600,-780,-970,-1120,-1260
Petawawa,ON,-77.33,45.9,4980,4905,-260,-440,-630,-830,-1030,-1190,-1350
Peterborough,ON,-78.32,44.3,4400,4245,-260,-440,-620,-810,-1000,-1150,-1300
Petrolia,ON,-82.15,42.87,3640,3650,-210,-360,-520,-670,-830,-960,-1090
Pickering (Dunbarton),ON,-79.1,43.82,3800,3895,-240,-410,-580,-750,-930,-1070,-1220
Picton,ON,-77.13,44,3980,4010,-230,-390,-560,-730,-910,-1050,-1190
Plattsville,ON,-80.62,43.3,4150,4095,-240,-410,-590,-760,-940,-1090,-1230
Point Alexander,ON,-77.57,46.13,4960,5030,-260,-450,-650,-850,-1060,-1220,-1390
Port Burwell,ON,-80.82,42.65,3800,3730,-220,-380,-540,-690,-860,-1000,-1130
Port Colborne,ON,-79.23,42.9,3600,3600,-220,-370,-520,-670,-840,-970,-1100
Port Elgin,ON,-81.4,44.43,4100,4130,-240,-420,-600,-770,-960,-1110,-1260
Port Hope,ON,-78.3,43.95,3970,4020,-240,-410,-590,-760,-940,-1090,-1230
Port Perry,ON,-78.95,44.1,4260,4140,-260,-440,-620,-800,-990,-1140,-1290
Port Stanley,ON,-81.22,42.67,3850,3735,-230,-380,-550,-710,-880,-1010,-1150
Prescott,ON,-75.52,44.72,4120,4270,-240,-410,-580,-760,-940,-1080,-1230
Princeton,ON,-80.53,43.17,4000,3975,-240,-400,-570,-740,-920,-1060,-1210
Raith,ON,-89.93,48.83,5900,5925,-280,-490,-730,-950,-1190,-1380,-1570
Rayside-Balfour (Chelmsford),ON,-81.2,46.58,5200,5205,-270,-470,-690,-900,-1120,-1290,-1460
Red Lake,ON,-93.82,51.05,6220,6150,-280,-490,-730,-960,-1200,-1390,-1580
Renfrew,ON,-76.68,45.47,4900,4775,-260,-440,-630,-820,-1020,-1180,-1330
Richmond Hill,ON,-79.45,43.87,4000,3990,-250,-420,-600,-770,-960,-1110,-1250
Rockland,ON,-75.29,45.55,4600,4795,-260,-450,-650,-840,-1040,-1200,-1360
Sarnia,ON,-82.38,42.97,3750,3615,-210,-360,-520,-670,-840,-960,-1090
Sault Ste. Marie,ON,-84.33,46.52,4960,4865,-270,-470,-680,-890,-1100,-1270,-1440
Schreiber,ON,-87.25,48.8,5960,5880,-300,-530,-770,-1010,-1270,-1460,-1660
Seaforth,ON,-81.4,43.55,4100,4015,-240,-410,-580,-750,-940,-1080,-1230
Shelburne,ON,-80.204,44.076,4700,4505,-260,-450,-650,-840,-1040,-1200,-1360
Simcoe,ON,-80.3,42.83,3700,3785,-220,-370,-540,-690,-870,-1000,-1140
Sioux Lookout,ON,-91.98,50.07,5950,5915,-270,-480,-710,-930,-1160,-1350,-1540
Smiths Falls,ON,-76.02,44.9,4540,4385,-250,-420,-600,-780,-970,-1120,-1260
Smithville,ON,-79.55,43.1,3650,3610,-220,-380,-540,-690,-860,-990,-1130
Smooth Rock Falls,ON,-81.63,49.28,6250,6215,-310,-530,-770,-1020,-1270,-1480,-1680
South River,ON,-79.38,45.83,5090,5015,-260,-450,-650,-850,-1060,-1230,-1390
Southampton,ON,-81.38,44.48,4100,4125,-240,-420,-600,-770,-960,-1110,-1260
St. Catharines,ON,-79.25,43.17,3540,3565,-220,-370,-530,-680,-850,-980,-1110
St. Mary's,ON,-81.13,43.25,4000,3980,-240,-410,-580,-750,-930,-1070,-1210
St. Thomas,ON,-81.2,42.78,3780,3755,-230,-390,-550,-710,-880,-1020,-1160
Stirling,ON,-77.55,44.3,4220,4140,-250,-420,-600,-780,-970,-1120,-1260
Stratford,ON,-80.95,43.37,4050,4075,-240,-410,-590,-760,-940,-1090,-1240
Strathroy,ON,-81.63,42.95,3780,3770,-220,-380,-540,-700,-870,-1000,-1140
Sturgeon Falls,ON,-79.92,46.37,5200,5120,-260,-450,-650,-860,-1070,-1230,-1400
Sudbury,ON,-81,46.5,5180,5185,-270,-470,-680,-890,-1100,-1270,-1440
Sundridge,ON,-79.4,45.77,5080,5000,-260,-450,-650,-850,-1060,-1220,-1380
Tavistock,ON,-80.83,43.32,4100,4085,-240,-410,-590,-760,-940,-1090,-1230
Temagami,ON,-79.78,47.07,5420,5495,-280,-480,-700,-920,-1150,-1330,-1500
Thamesford,ON,-81,43.07,3950,3920,-240,-400,-580,-740,-920,-1060,-1210
Thedford,ON,-81.85,43.15,3710,3705,-220,-370,-530,-680,-850,-980,-1120
Thunder Bay,ON,-89.32,48.4,5650,5625,-280,-480,-710,-930,-1160,-1340,-1520
Tillsonburg,ON,-80.73,42.85,3840,3850,-230,-390,-560,-710,-890,-1030,-1160
Timmins,ON,-81.33,48.47,5940,5975,-300,-520,-760,-1000,-1250,-1450,-1650
Timmins (Porcupine),ON,-81.17,48.5,6000,6010,-300,-530,-770,-1010,-1260,-1460,-1660
Etobicoke,ON,-79.57,43.7,3800,3885,-240,-410,-590,-750,-940,-1080,-1220
North York,ON,-79.42,43.77,3760,3795,-240,-410,-590,-760,-940,-1080,-1220
Scarborough,ON,-79.25,43.78,3800,3855,-240,-410,-580,-750,-930,-1070,-1210
Toronto (city hall),ON,-79.38,43.65,3520,3715,-230,-390,-560,-720,-900,-1040,-1170
Toronto (LBP Int'l Airport),ON,-79.61,43.68,3890,3885,-240,-410,-590,-750,-940,-1080,-1220
Trenton,ON,-77.58,44.1,4110,4010,-250,-420,-590,-770,-950,-1090,-1240
Trout Creek,ON,-79.37,45.98,5100,5050,-270,-460,-660,-870,-1080,-1240,-1400
Uxbridge,ON,-79.12,44.1,4240,4145,-260,-440,-620,-800,-990,-1140,-1290
Vaughan (Woodbridge),ON,-79.6,43.78,4100,4080,-250,-420,-600,-770,-960,-1100,-1250
Vittoria,ON,-80.32,42.77,3680,3780,-220,-370,-530,-680,-850,-990,-1120
Walkerton,ON,-81.15,44.12,4300,4250,-250,-430,-620,-800,-990,-1140,-1290
Wallaceburg,ON,-82.38,42.6,3600,3560,-200,-350,-490,-640,-800,-920,-1040
Waterloo,ON,-80.52,43.47,4200,4205,-250,-430,-610,-780,-970,-1120,-1270
Watford,ON,-81.88,42.95,3740,3710,-220,-370,-530,-680,-850,-980,-1120
Wawa,ON,-84.78,47.98,5840,5710,-290,-510,-750,-990,-1240,-1410,-1580
Welland,ON,-79.25,42.98,3670,3610,-220,-370,-530,-680,-850,-980,-1110
West Lorne,ON,-81.6,42.6,3700,3645,-210,-360,-510,-660,-830,-960,-1090
Whitby,ON,-78.93,43.87,3820,3855,-240,-400,-570,-740,-910,-1050,-1190
Whitby (Brooklin),ON,-78.95,43.95,4010,4025,-240,-420,-590,-760,-940,-1080,-1230
White River,ON,-85.28,48.6,6150,5985,-310,-530,-780,-1030,-1290,-1490,-1700
Wiarton,ON,-81.15,44.75,4300,4270,-250,-430,-610,-790,-990,-1130,-1280
Windsor,ON,-83.02,42.3,3400,3445,-190,-320,-470,-600,-750,-870,-990
Wingham,ON,-81.32,43.88,4220,4150,-250,-420,-600,-770,-960,-1110,-1260
Woodstock,ON,-80.75,43.13,3910,3970,-240,-410,-580,-750,-930,-1070,-1220
Wyoming,ON,-82.12,42.95,3700,3655,-210,-370,-520,-670,-840,-970,-1100
Acton-Vale,QC,-72.57,45.65,4620,4645,-260,-450,-640,-840,-1030,-1190,-1350
Alma,QC,-71.65,48.55,5800,5940,-290,-510,-750,-980,-1210,-1410,-1600
Amos,QC,-78.12,48.57,6160,6275,-310,-540,-780,-1030,-1280,-1490,-1690
Asbestos,QC,-71.93,45.77,4800,4915,-260,-450,-650,-840,-1040,-1200,-1360
Aylmer,QC,-75.83,45.4,4520,4605,-250,-440,-630,-810,-1010,-1170,-1320
Baie-Comeau,QC,-68.15,49.22,6020,5805,-320,-560,-810,-1060,-1320,-1530,-1740
Baie-Saint-Paul,QC,-70.51,47.44,5280,5340,-290,-510,-740,-960,-1200,-1390,-1580
Beauport,QC,-71.18,46.87,5100,5035,-280,-490,-710,-930,-1150,-1330,-1510
Bedford,QC,-72.98,45.12,4420,4470,-240,-410,-590,-770,-950,-1100,-1240
Beloeil,QC,-73.2,45.57,4500,4515,-260,-450,-650,-840,-1040,-1200,-1350
Brome,QC,-72.57,45.2,4730,4625,-250,-430,-610,-800,-990,-1140,-1300
Brossard,QC,-73.47,45.45,4420,4415,-260,-450,-640,-830,-1030,-1180,-1340
Buckingham,QC,-75.42,45.58,4880,4825,-260,-450,-650,-850,-1050,-1210,-1360
Campbell's Bay,QC,-76.6,45.73,4900,4855,-260,-450,-650,-850,-1050,-1210,-1360
Chambly,QC,-73.28,45.45,4450,4475,-260,-450,-640,-830,-1030,-1180,-1340
Coaticook,QC,-71.8,45.13,4750,4860,-260,-450,-640,-830,-1030,-1180,-1340
Contrecoeur,QC,-73.23,45.85,4500,4595,-270,-470,-670,-880,-1080,-1250,-1410
