Location,prov,Longitude,Latitude,HDD (NBCC),HDD (degC-day),CF_0.5C (degC-day),CF_1.0C (degC-day),CF_1.5C (degC-day),CF_2.0C (degC-day),CF_2.5C (degC-day),CF_3.0C (degC-day),CF_3.5C (degC-day)
Windsor,QC,-72,45.57,4700,4830,-250,-440,-640,-830,-1020,-1180,-1340
Alma,NB,-64.95,45.6,4500,4480,-270,-460,-660,-850,-1040,-1210,-1370
Bathurst,NB,-65.65,47.62,5020,5060,-280,-490,-700,-910,-1130,-1310,-1480
Boiestown,NB,-66.419,46.455,4900,4965,-270,-470,-670,-880,-1080,-1260,-1430
Campbellton,NB,-66.67,48,5500,5660,-290,-500,-730,-950,-1180,-1370,-1560
Edmundston,NB,-68.33,47.37,5320,5555,-280,-500,-720,-940,-1160,-1340,-1530
Fredericton,NB,-66.65,45.95,4670,4720,-260,-450,-650,-840,-1030,-1200,-1360
Gagetown,NB,-66.16,45.79,4460,4585,-260,-450,-640,-830,-1030,-1190,-1350
Grand Falls,NB,-67.73,47.05,5300,5360,-280,-490,-700,-910,-1130,-1310,-1490
Miramichi,NB,-65.47,47.03,4950,4955,-270,-470,-670,-880,-1080,-1260,-1430
Moncton,NB,-64.78,46.1,4680,4640,-260,-450,-650,-840,-1040,-1200,-1360
Oromocto,NB,-66.48,45.84,4650,4675,-260,-450,-640,-830,-1030,-1190,-1350
Sackville,NB,-64.37,45.88,4590,4560,-260,-460,-650,-840,-1030,-1200,-1360
Saint Andrews ,NB,-67.05,45.07,4680,4435,-250,-430,-610,-790,-970,-1120,-1270
Saint George ,NB,-66.82,45.13,4680,4485,-250,-440,-620,-810,-1000,-1150,-1300
Saint John,NB,-66.05,45.267,4570,4465,-260,-440,-620,-810,-1000,-1150,-1310
Shippagan,NB,-64.7,47.73,4930,5005,-270,-480,-670,-860,-1060,-1230,-1400
St. Stephen,NB,-67.28,45.2,4700,4480,-240,-420,-600,-780,-970,-1120,-1280
Woodstock,NB,-67.6,46.16,4910,4875,-260,-460,-660,-860,-1060,-1230,-1400
Amherst,NS,-64.2,45.83,4500,4515,-270,-460,-650,-840,-1040,-1200,-1360
Antigonish,NS,-62,45.62,4510,4470,-260,-450,-630,-820,-1010,-1170,-1330
Bridgewater,NS,-64.52,44.38,4140,4120,-250,-430,-610,-790,-980,-1130,-1290
Canso,NS,-61,45.33,4400,4290,-280,-470,-650,-830,-1020,-1190,-1350
Dartmouth,NS,-63.57,44.67,4100,4175,-250,-430,-610,-790,-970,-1130,-1280
Debert,NS,-63.47,45.43,4500,4450,-260,-450,-650,-830,-1030,-1190,-1360
Digby,NS,-65.77,44.62,4020,4120,-260,-440,-620,-810,-1000,-1150,-1310
Greenwood (CFB),NS,-64.9,44.98,4140,4110,-250,-420,-600,-780,-960,-1110,-1260
Halifax,NS,-63.6,44.65,4000,4140,-250,-430,-610,-790,-970,-1130,-1280
Kentville,NS,-64.5,45.08,4130,4185,-250,-430,-610,-780,-970,-1120,-1270
Liverpool,NS,-64.72,44.03,3990,4000,-270,-460,-650,-840,-1030,-1200,-1360
Lockeport,NS,-65.12,43.7,4000,3905,-270,-470,-660,-860,-1060,-1220,-1390
Louisburg,NS,-59.98,45.92,4530,4420,-270,-470,-660,-850,-1050,-1220,-1390
Lunenburg,NS,-64.32,44.38,4140,4105,-260,-440,-620,-790,-970,-1130,-1280
New Glasgow,NS,-62.65,45.58,4320,4490,-260,-440,-630,-810,-1000,-1160,-1320
North Sydney,NS,-60.25,46.22,4500,4350,-270,-460,-650,-840,-1040,-1200,-1370
Pictou,NS,-62.72,45.68,4310,4470,-260,-450,-630,-810,-1000,-1160,-1320
Port Hawkesbury,NS,-61.35,45.62,4500,4495,-260,-450,-630,-810,-1000,-1160,-1330
Springhill,NS,-64.05,45.65,4540,4445,-260,-450,-640,-830,-1020,-1190,-1350
Stewiacke,NS,-63.35,45.13,4400,4440,-260,-440,-630,-810,-990,-1150,-1310
Sydney,NS,-60.18,46.15,4530,4410,-270,-460,-650,-830,-1030,-1190,-1360
Tatamagouche,NS,-63.3,45.72,4380,4450,-260,-440,-630,-810,-1000,-1160,-1320
Truro,NS,-63.27,45.37,4500,4470,-260,-450,-640,-820,-1010,-1170,-1340
Wolfville,NS,-64.37,45.08,4140,4225,-250,-430,-610,-790,-970,-1120,-1280
Yarmouth,NS,-66.12,43.83,3990,3960,-270,-460,-650,-840,-1030,-1200,-1360
Charlottetown,PE,-63.133,46.233,4460,4530,-260,-450,-630,-820,-1000,-1160,-1320
Souris,PE,-62.25,46.35,4550,4535,-260,-450,-630,-820,-1010,-1170,-1330
Summerside,PE,-63.783,46.4,4600,4710,-260,-460,-650,-840,-1030,-1190,-1350
Tignish,PE,-64.03,46.95,4770,4685,-260,-450,-650,-830,-1030,-1190,-1350
Argentia,NL,-53.98,47.3,4600,4490,-290,-510,-720,-930,-1150,-1350,-1540
Bonavista,NL,-53.12,48.65,5000,4870,-270,-480,-690,-890,-1110,-1300,-1480
Buchans,NL,-56.867,48.817,5250,5300,-310,-550,-780,-1010,-1240,-1440,-1640
Cape Harrison,NL,-57.95,54.78,6900,6880,-430,-760,-1080,-1390,-1680,-1930,-2180
Cape Race,NL,-53.07,46.65,4900,4705,-300,-530,-750,-960,-1190,-1390,-1590
Channel-Port aux Basques,NL,-59.15,47.57,5000,4860,-320,-550,-780,-1000,-1230,-1430,-1630
Corner Brook,NL,-57.95,48.95,4760,4750,-300,-530,-760,-980,-1200,-1410,-1610
Gander,NL,-54.59,48.98,5110,5015,-300,-520,-740,-950,-1170,-1360,-1550
Grand Bank,NL,-55.77,47.1,4550,4770,-310,-540,-770,-990,-1210,-1410,-1600
Grand Falls,NL,-55.67,48.93,5020,5090,-300,-520,-740,-960,-1180,-1370,-1560
Happy Valley-Goose Bay,NL,-60.37,53.32,6670,6795,-360,-630,-900,-1180,-1460,-1700,-1950
Labrador City,NL,-66.92,52.95,7710,7690,-350,-620,-900,-1180,-1470,-1720,-1960
St. Anthony,NL,-55.58,51.37,6440,5915,-330,-580,-820,-1060,-1320,-1540,-1770
St. John's,NL,-52.72,47.57,4800,4730,-270,-470,-670,-880,-1100,-1290,-1480
Stephenville,NL,-58.58,48.55,4850,4785,-300,-530,-750,-960,-1180,-1370,-1550
Twin Falls,NL,-64.53,53.5,7790,7690,-360,-630,-900,-1190,-1480,-1730,-1970
Wabana,NL,-52.95,47.63,4750,4745,-270,-470,-670,-880,-1100,-1290,-1480
Wabush,NL,-66.87,52.92,7710,7690,-350,-620,-900,-1180,-1470,-1710,-1960
Aishihik,YT,-137.517,61.6,7500,7500,-310,-590,-850,-1120,-1380,-1640,-1910
Dawson,YT,-139.42,64.07,8120,8010,-310,-600,-880,-1160,-1410,-1670,-1940
Destruction Bay,YT,-138.8,61.25,7800,7725,-300,-590,-850,-1120,-1370,-1640,-1900
Faro,YT,-133.357,62.227,7300,7655,-290,-550,-810,-1060,-1340,-1560,-1780
Haines Junction,YT,-137.54,60.78,7100,7090,-300,-590,-850,-1120,-1360,-1620,-1880
Snag,YT,-140.37,62.4,8300,7710,-300,-590,-850,-1110,-1350,-1610,-1870
Teslin,YT,-132.72,60.17,6770,6765,-300,-570,-830,-1080,-1320,-1570,-1820
Watson Lake,YT,-128.71,60.13,7470,7355,-300,-570,-820,-1060,-1300,-1540,-1780
Whitehorse,YT,-135.05,60.72,6580,6655,-310,-590,-860,-1130,-1380,-1650,-1910
Aklavik,NT,-135.01,68.23,9600,9345,-440,-790,-1130,-1470,-1800,-2110,-2430
Echo Bay / Port Radium,NT,-117.88,66.05,9300,9290,-400,-710,-1030,-1360,-1700,-2000,-2310
Fort Good Hope,NT,-128.63,66.29,8700,8635,-370,-680,-970,-1280,-1570,-1850,-2140
Fort McPherson ,NT,-134.88,67.43,9150,9150,-400,-740,-1060,-1380,-1690,-2000,-2300
Fort Providence,NT,-117.65,61.35,7620,7420,-330,-590,-850,-1110,-1370,-1620,-1860
Fort Resolution,NT,-113.67,61.19,7750,7510,-330,-590,-860,-1130,-1410,-1660,-1910
Fort Simpson,NT,-121.35,61.93,7660,7585,-320,-580,-830,-1090,-1340,-1580,-1820
Fort Smith,NT,-111.88,60,7300,7270,-320,-570,-820,-1080,-1350,-1580,-1820
Hay River,NT,-115.733,60.85,7550,7340,-330,-590,-850,-1120,-1390,-1640,-1880
Inuvik,NT,-133.72,68.35,9600,9530,-440,-800,-1140,-1490,-1830,-2150,-2480
Mould Bay,NT,-119.33,76.23,12900,12390,-590,-1040,-1510,-1980,-2480,-2920,-3370
Norman Wells,NT,-126.85,65.283,8510,8470,-360,-660,-950,-1240,-1520,-1790,-2060
Rae-Edzo,NT,-116.05,62.83,8300,8170,-350,-620,-900,-1190,-1480,-1750,-2010
Tungsten,NT,-128.27,61.95,7700,9015,-320,-600,-880,-1150,-1420,-1700,-1980
Ulukhaqtuuq / Holman,NT,-117.75,70.73,10700,10860,-510,-900,-1290,-1700,-2100,-2460,-2830
Wrigley,NT,-123.47,63.23,8050,8105,-330,-600,-860,-1120,-1380,-1630,-1870
Yellowknife,NT,-114.35,62.48,8170,8070,-350,-630,-910,-1200,-1490,-1760,-2030
Alert,NU,-62.25,82.48,13030,12390,-410,-730,-1050,-1390,-1720,-2040,-2360
Arctic Bay,NU,-85.17,73.03,11900,12180,-520,-900,-1300,-1710,-2140,-2540,-2940
Arviat,NU,-94.05,61.12,9850,9760,-460,-810,-1180,-1560,-1970,-2320,-2680
Baker Lake,NU,-96.02,64.32,10700,10665,-490,-850,-1230,-1630,-2040,-2420,-2790
Eureka,NU,-85.95,79.983,13500,12390,-410,-730,-1050,-1390,-1720,-2040,-2360
Igluligaarjuk / Chesterfield Inlet,NU,-90.7,63.33,10500,10465,-500,-870,-1260,-1670,-2110,-2500,-2880
Iqaluit,NU,-68.5,63.73,9980,10295,-470,-840,-1210,-1620,-2050,-2440,-2830
Iqaluktuuttiaq / Cambridge Bay,NU,-105.03,69.12,11670,11485,-570,-990,-1420,-1860,-2320,-2750,-3180
Isachsen,NU,-103.53,78.78,13600,12390,-610,-1040,-1480,-1940,-2430,-2880,-3330
Kangiqiniq / Rankin Inlet,NU,-92.08,62.82,10500,10320,-490,-860,-1250,-1650,-2080,-2450,-2830
Kanngiqtugaapik / Clyde River,NU,-68.57,70.45,11300,11290,-430,-760,-1110,-1470,-1850,-2210,-2560
Kugluktuk,NU,-115.08,67.83,10300,10295,-480,-840,-1220,-1610,-1990,-2340,-2690
Nottingham Island,NU,-78,63.1,10000,9815,-530,-950,-1400,-1900,-2450,-2920,-3380
Resolute,NU,-94.9,74.68,12360,12390,-600,-1030,-1470,-1920,-2400,-2850,-3290
Resolution Island,NU,-64.883,61.3,9000,9175,-460,-800,-1130,-1470,-1830,-2160,-2490
Salliq / Coral Harbour,NU,-83.17,64.13,10720,10590,-520,-910,-1310,-1740,-2200,-2600,-3010
